FlyHeight6,FlyHeight7,FlyHeight8,FlyHeight9,FlyHeight10,FlyHeight11,FlyHeight12,class
3019,2577,13748,11168,5667,4540,10610,1
3020,2606,13477,10993,5668,4629,10862,1
3019,2578,13845,11074,5683,4520,10795,1
3026,2574,13655,11060,5647,4538,10659,1
3026,2572,13550,11048,5661,4488,11000,1
2970,2512,13559,10928,5612,4504,10557,1
2981,2531,13354,11165,5616,4520,10512,1
3045,2567,13553,11063,5617,4533,10379,1
3046,2563,13594,11120,5633,4560,10819,1
3038,2545,13493,11048,5615,4546,10706,1
3036,2537,13408,11168,5669,4544,10788,1
3117,2745,14397,11450,6164,5062,11154,1
3137,2772,14651,11738,6210,5058,11458,1
3193,2817,14723,11679,6272,5146,11614,1
3185,2820,14644,11734,6231,5118,11231,1
3152,2791,14678,11479,6214,5100,11645,1
3164,2807,14630,11681,6178,5097,11557,1
3149,2791,14611,11663,6190,5031,11484,1
3128,2730,14383,11303,6069,4967,11219,1
3044,2642,13778,11199,5788,4704,10894,1
3066,2639,13871,11310,5879,4807,10639,1
3037,2635,13810,11194,5694,4654,10875,1
26728,26728,26728,26728,26728,26728,26728,1
2984,2734,12046,10850,5577,5179,9941,1
3038,2806,12211,11092,5773,5287,10033,1
3049,2799,12201,10991,5792,5301,10199,1
3043,2808,12359,11040,5809,5345,10279,1
3084,2855,12443,11048,5887,5398,10321,1
3062,2796,12288,10999,5809,5346,10057,1
3069,2800,12226,10986,5820,5328,9994,1
3057,2812,12231,10987,5798,5347,10071,1
3058,2789,12223,10923,5794,5358,10210,1
3080,2794,12268,10996,5824,5336,10102,1
3062,2800,12239,10963,5761,5342,10134,1
3065,2796,12330,11058,5817,5321,10134,1
3059,2803,12277,10880,5812,5321,10172,1
3070,2794,12253,10942,5758,5315,9967,1
3075,2808,12231,11084,5772,5358,10048,1
3043,2797,12266,10929,5800,5362,10100,1
3048,2805,12195,10965,5737,5312,10088,1
3075,2785,12343,10992,5784,5365,10041,1
3069,2802,12225,11088,5796,5352,10009,1
3056,2785,12297,10989,5799,5329,10011,1
3024,2767,12203,10910,5719,5284,10124,1
3027,2771,12119,10838,5732,5304,10091,1
3028,2763,12159,10974,5711,5297,9933,1
3025,2764,12187,10910,5725,5281,10222,1
3052,2758,12138,10900,5747,5291,10056,1
3029,2763,12119,10924,5723,5268,9992,1
3024,2770,12078,10888,5673,5273,10001,1
3005,2765,12165,10718,5699,5223,10031,1
3006,2760,11995,10736,5679,5262,9980,1
3019,2769,12173,10915,5688,5265,9969,1
2999,2758,12080,10766,5713,5248,9866,1
3009,2775,12075,10856,5674,5253,9910,1
3009,2751,12031,10754,5725,5263,9923,1
3017,2756,12066,10857,5720,5244,9982,1
3025,2753,12099,10886,5685,5232,9948,1
3009,2743,12082,10648,5688,5253,9944,1
3020,2759,12007,10765,5656,5278,9970,1
3015,2763,12072,10879,5654,5237,9831,1
3010,2750,12100,10699,5689,5257,10021,1
3055,2801,12235,10906,5822,5353,10176,1
3064,2806,12235,10937,5823,5340,10238,1
3055,2798,12199,11051,5797,5335,10320,1
3040,2813,12222,10914,5747,5330,10234,1
3068,2825,12241,11105,5825,5357,10202,1
3067,2801,12232,10950,5773,5336,10069,1
3069,2809,12343,10992,5816,5382,10277,1
2974,2691,11881,10667,5544,5141,9679,1
2989,2716,11841,10685,5567,5162,9902,1
2996,2710,11933,10702,5577,5130,9729,1
3018,2717,11996,10759,5581,5145,9876,1
2995,2705,11902,10554,5598,5133,9690,1
2984,2722,11899,10637,5581,5141,9803,1
3137,2892,12515,11243,5949,5535,10627,1
3136,2891,12563,11270,5979,5560,10403,1
3121,2890,12513,11242,5962,5526,10355,1
3119,2885,12548,11255,5944,5478,10421,1
3126,2880,12568,11096,5948,5467,10458,1
3121,2898,12499,11202,5985,5515,10513,1
3147,2919,12648,11385,6065,5648,10566,1
3196,3003,12824,11456,6254,5754,10631,1
