FlyHeight6,FlyHeight7,FlyHeight8,FlyHeight9,FlyHeight10,FlyHeight11,FlyHeight12,class
2921,2724,13118,11027,5998,5219,10820,0
2921,2724,13118,11027,5998,5219,10820,0
3073,2875,13604,11483,6387,5561,11241,0
3063,2881,13626,11555,6363,5542,11293,0
3072,2880,13480,11544,6409,5501,11150,0
3070,2874,13423,11455,6357,5556,11199,0
3067,2882,13454,11519,6368,5533,11450,0
3074,2878,13672,11515,6383,5534,11581,0
3066,2884,13449,11422,6380,5511,11496,0
3067,2876,13506,11452,6401,5500,10970,0
3066,2869,13408,11396,6371,5492,11355,0
3077,2882,13531,11479,6389,5513,11427,0
3065,2878,13484,11451,6414,5530,11634,0
3068,2883,13400,11446,6406,5516,11370,0
3056,2877,13509,11412,6411,5489,11309,0
3061,2872,13383,11395,6368,5483,11303,0
3065,2869,13523,11431,6379,5502,11268,0
3069,2867,13456,11378,6382,5468,11379,0
3070,2869,13499,11428,6376,5520,11114,0
3063,2887,13534,11477,6390,5547,11439,0
3090,2878,13348,11559,6346,5521,10842,0
3073,2881,13491,11488,6386,5555,11293,0
3068,2889,13457,11523,6402,5519,11292,0
3076,2879,13434,11500,6396,5535,10937,0
3083,2878,13510,11511,6431,5536,11272,0
3056,2879,13457,11500,6425,5517,11197,0
3062,2863,13394,11450,6372,5526,10759,0
3077,2874,13455,11540,6422,5576,11447,0
3078,2870,13394,11486,6398,5538,11076,0
3089,2874,13459,11464,6380,5543,11223,0
3081,2879,13442,11531,6426,5548,11118,0
3077,2899,13427,11515,6415,5516,11311,0
3091,2903,13501,11574,6402,5552,11539,0
3076,2887,13534,11542,6402,5583,11059,0
3075,2890,13486,11515,6410,5567,11471,0
3074,2881,13463,11445,6423,5581,11444,0
3070,2884,13375,11491,6380,5556,11366,0
3072,2883,13379,11532,6406,5523,11153,0
3069,2883,13332,11451,6392,5520,11041,0
3070,2885,13312,11461,6367,5520,11186,0
3081,2878,13356,11443,6400,5521,11089,0
3069,2891,13276,11484,6368,5540,11203,0
3072,2878,13352,11453,6378,5527,11215,0
3075,2885,13469,11483,6428,5537,11163,0
3061,2879,13399,11492,6390,5538,11123,0
3086,2884,13565,11478,6429,5561,11140,0
3078,2881,13459,11576,6405,5541,11344,0
3066,2869,13357,11398,6349,5549,11069,0
3084,2883,13477,11558,6423,5591,11144,0
3066,2879,13448,11499,6411,5571,11155,0
3073,2881,13374,11494,6414,5552,11584,0
3080,2880,13580,11600,6413,5555,11307,0
3087,2889,13494,11579,6453,5560,11484,0
3073,2885,13361,11501,6380,5514,11074,0
3079,2886,13519,11536,6431,5584,11404,0
3077,2884,13315,11457,6403,5524,11314,0
3080,2875,13390,11376,6390,5548,11293,0
3062,2868,13345,11336,6353,5518,11153,0
3077,2882,13499,11453,6363,5558,11434,0
3078,2886,13551,11462,6406,5548,11240,0
3078,2878,13477,11417,6381,5553,11280,0
3082,2882,13589,11489,6388,5533,11175,0
3068,2890,13422,11398,6379,5571,11083,0
3069,2886,13510,11503,6422,5574,11263,0
3080,2871,13569,11567,6417,5553,11620,0
3078,2884,13365,11461,6407,5534,11022,0
3071,2880,13334,11462,6416,5515,11539,0
3071,2879,13347,11370,6376,5514,11084,0
3084,2869,13515,11407,6348,5496,11045,0
3090,2889,13497,11609,6415,5556,11301,0
3075,2881,13503,11451,6350,5523,11119,0
3064,2873,13437,11493,6379,5526,11140,0
3067,2884,13610,11505,6403,5560,11602,0
3064,2880,13592,11450,6423,5524,11354,0
3071,2875,13547,11429,6381,5509,11280,0
3081,2875,13654,11461,6416,5549,11185,0
3079,2876,13436,11548,6399,5508,10956,0
3075,2871,13605,11509,6396,5535,11303,0
3062,2879,13549,11476,6391,5515,11146,0
3073,2883,13440,11473,6390,5544,11454,0
3071,2875,13445,11498,6426,5548,11272,0
3079,2877,13382,11425,6385,5525,11206,0
3074,2890,13552,11408,6427,5536,11313,0
3070,2884,13506,11455,6373,5546,11099,0
3067,2884,13574,11479,6391,5561,11162,0
3076,2882,13624,11514,6409,5532,11302,0
3078,2871,13379,11429,6338,5525,11112,0
3066,2879,13429,11432,6339,5508,11103,0
3069,2872,13357,11427,6376,5495,11372,0
3068,2878,13461,11396,6351,5520,11281,0
3058,2890,13394,11397,6385,5538,10970,0
3075,2885,13402,11376,6389,5523,11219,0
3066,2882,13486,11384,6356,5534,11218,0
3060,2887,13538,11442,6418,5543,11228,0
3064,2888,13381,11406,6390,5488,11447,0
3081,2876,13340,11395,6374,5531,11251,0
3067,2879,13439,11434,6388,5521,11325,0
3076,2872,13621,11487,6406,5528,11346,0
3070,2875,13439,11389,6359,5536,11185,0
3091,2903,13480,11462,6423,5588,11283,0
3083,2894,13527,11468,6447,5535,11451,0
3066,2870,13450,11405,6354,5516,11417,0
3070,2879,13449,11432,6350,5497,10894,0
3071,2880,13503,11494,6372,5589,11028,0
3065,2877,13461,11350,6380,5523,11219,0
3057,2872,13473,11384,6348,5486,11283,0
3061,2866,13289,11373,6379,5502,11504,0
3086,2875,13411,11430,6335,5506,11161,0
3053,2874,13439,11334,6380,5502,11306,0
3082,2879,13448,11398,6370,5514,11141,0
3059,2875,13414,11384,6375,5496,11110,0
3080,2883,13502,11533,6431,5544,11241,0
3060,2876,13377,11377,6356,5489,10894,0
3056,2872,13384,11415,6320,5475,11121,0
3084,2886,13545,11545,6419,5535,11414,0
3076,2871,13539,11374,6348,5497,11099,0
3067,2875,13351,11453,6330,5505,11404,0
3065,2871,13356,11438,6320,5536,11119,0
3076,2903,13365,11414,6384,5513,11076,0
3063,2874,13405,11335,6307,5468,11016,0
3072,2872,13263,11437,6338,5461,11017,0
3057,2874,13401,11410,6367,5508,11207,0
3069,2871,13369,11363,6346,5483,11241,0
3053,2870,13407,11387,6349,5477,11016,0
3055,2877,13406,11327,6323,5482,11206,0
3056,2882,13321,11391,6364,5470,11121,0
3073,2877,13578,11497,6420,5526,11080,0
3064,2888,13486,11482,6425,5511,11038,0
3074,2894,13508,11538,6429,5529,11466,0
3065,2879,13489,11474,6418,5509,11149,0
3065,2860,13512,11509,6367,5524,11204,0
3073,2887,13432,11451,6358,5497,11205,0
3068,2872,13413,11497,6353,5529,11380,0
3065,2877,13445,11482,6425,5489,11081,0
3066,2878,13579,11441,6426,5486,11114,0
3070,2873,13490,11505,6380,5500,11246,0
3060,2872,13502,11349,6330,5472,11121,0
3087,2885,13466,11472,6417,5522,11287,0
3068,2878,13458,11409,6384,5481,11209,0
3065,2871,13455,11467,6361,5512,11147,0
3057,2881,13330,11424,6353,5470,11215,0
3058,2882,13461,11398,6372,5473,11122,0
3070,2879,13437,11459,6415,5526,11040,0
3071,2882,13499,11385,6392,5517,11098,0
3069,2877,13558,11438,6361,5523,11331,0
3078,2871,13442,11462,6391,5495,11345,0
3082,2876,13485,11490,6384,5544,11011,0
3067,2877,13553,11460,6384,5514,10900,0
3066,2877,13521,11452,6393,5523,11258,0
3068,2884,13549,11395,6339,5481,11261,0
3063,2877,13557,11430,6383,5497,11207,0
3055,2881,13353,11403,6352,5512,11215,0
3092,2911,13660,11541,6464,5559,11138,0
3083,2875,13585,11516,6403,5517,11315,0
3074,2883,13338,11539,6421,5497,11264,0
3071,2890,13373,11467,6372,5490,11457,0
3048,2880,13520,11518,6403,5479,10946,0
3071,2882,13402,11537,6384,5507,11304,0
3058,2876,13365,11398,6343,5470,11165,0
3059,2880,13527,11459,6353,5504,11010,0
3064,2871,13426,11358,6351,5477,11239,0
3065,2879,13342,11377,6358,5497,10989,0
3060,2866,13345,11362,6331,5483,11079,0
3054,2867,13381,11385,6399,5475,11192,0
3068,2875,13488,11472,6431,5517,11346,0
3077,2881,13435,11488,6412,5553,11346,0
3068,2877,13441,11432,6395,5527,11198,0
3071,2883,13462,11441,6405,5546,11216,0
3084,2878,13451,11490,6422,5526,11236,0
3070,2873,13467,11410,6434,5525,11099,0
3068,2877,13373,11423,6396,5478,11213,0
3069,2868,13519,11380,6408,5511,11106,0
3060,2873,13380,11365,6406,5494,11074,0
3065,2872,13456,11333,6411,5534,11157,0
3075,2883,13554,11535,6436,5519,11238,0
3078,2877,13424,11462,6402,5508,11371,0
3071,2869,13432,11401,6423,5544,11087,0
3088,2877,13393,11469,6432,5533,11256,0
3078,2882,13416,11363,6403,5507,11195,0
3073,2897,13513,11459,6439,5518,11002,0
3063,2883,13260,11354,6387,5508,11175,0
3070,2883,13418,11497,6408,5512,11181,0
3079,2876,13488,11426,6387,5497,11258,0
3065,2883,13275,11413,6398,5504,11172,0
3074,2894,13525,11456,6414,5511,11382,0
3063,2871,13415,11338,6399,5474,11414,0
3075,2897,13497,11397,6414,5534,11501,0
3064,2876,13466,11402,6375,5517,11530,0
3074,2881,13482,11455,6430,5510,11255,0
3079,2873,13582,11428,6432,5530,11234,0
3070,2881,13393,11377,6394,5505,11111,0
3085,2913,13409,11536,6474,5572,11238,0
3062,2868,13414,11364,6393,5482,11150,0
3060,2884,13380,11384,6383,5481,11172,0
3067,2873,13432,11362,6372,5474,11029,0
3065,2875,13452,11413,6384,5486,11135,0
3077,2875,13460,11431,6360,5474,11183,0
3082,2911,13434,11471,6457,5561,11313,0
3091,2901,13579,11529,6503,5579,11312,0
3071,2875,13366,11455,6419,5493,11430,0
3083,2895,13498,11466,6412,5554,11323,0
3087,2912,13435,11422,6399,5527,11357,0
3062,2863,13404,11435,6300,5490,11347,0
3081,2877,13348,11404,6384,5525,11207,0
3067,2884,13464,11474,6383,5520,11380,0
3073,2870,13482,11417,6421,5493,11256,0
3074,2882,13422,11415,6425,5529,11450,0
3069,2869,13452,11430,6408,5528,11211,0
3060,2884,13373,11421,6400,5506,11394,0
3078,2879,13539,11480,6436,5491,11236,0
3071,2877,13426,11469,6410,5514,11214,0
3066,2883,13493,11462,6404,5488,11428,0
3061,2871,13473,11496,6438,5531,11554,0
3050,2872,13397,11394,6367,5496,11227,0
3074,2874,13427,11357,6358,5522,11289,0
3072,2878,13346,11365,6391,5465,11012,0
3071,2882,13415,11433,6388,5502,11244,0
3070,2873,13433,11385,6383,5495,11136,0
3085,2873,13544,11471,6435,5512,11281,0
3072,2875,13388,11437,6449,5498,11193,0
3073,2878,13536,11472,6368,5552,11314,0
3067,2876,13403,11478,6437,5531,11301,0
3064,2879,13475,11428,6389,5522,11287,0
3076,2893,13574,11541,6473,5546,11324,0
3083,2879,13581,11511,6401,5518,11101,0
3069,2876,13402,11427,6394,5514,11176,0
3068,2871,13408,11432,6447,5514,11290,0
3061,2867,13420,11313,6398,5489,11256,0
3058,2874,13427,11397,6338,5468,11200,0
3051,2867,13484,11320,6328,5461,11174,0
3055,2866,13349,11378,6342,5495,11284,0
3065,2879,13317,11463,6401,5473,10986,0
3056,2873,13510,11390,6356,5511,11503,0
3068,2886,13405,11474,6391,5476,11221,0
3057,2876,13371,11469,6365,5514,11472,0
3059,2870,13410,11376,6382,5514,11216,0
3046,2879,13412,11435,6381,5511,11084,0
3073,2881,13505,11472,6371,5527,11287,0
3063,2874,13351,11421,6392,5479,11170,0
3062,2873,13433,11494,6436,5505,11271,0
3061,2868,13280,11377,6337,5471,11341,0
3064,2871,13316,11368,6318,5445,11015,0
3064,2879,13319,11400,6332,5463,11136,0
3062,2879,13391,11394,6303,5458,11333,0
3063,2877,13574,11389,6332,5486,11020,0
3075,2865,13535,11419,6333,5493,11035,0
3061,2881,13451,11459,6285,5485,11148,0
3057,2872,13319,11343,6310,5452,11234,0
3060,2864,13462,11361,6330,5473,11096,0
3062,2865,13261,11351,6325,5485,11173,0
3052,2866,13438,11361,6300,5465,11189,0
3069,2866,13494,11401,6307,5470,11340,0
3063,2882,13613,11442,6405,5491,11258,0
3061,2876,13506,11382,6380,5518,11181,0
3069,2888,13357,11439,6384,5507,11054,0
3047,2873,13463,11408,6291,5497,11040,0
3064,2867,13476,11383,6338,5471,10904,0
3060,2883,13478,11478,6351,5512,11375,0
3061,2866,13439,11317,6382,5488,11158,0
3060,2866,13454,11316,6319,5458,11140,0
3062,2870,13512,11448,6370,5485,11637,0
3057,2882,13554,11388,6349,5504,11338,0
3075,2868,13539,11401,6311,5482,11114,0
3065,2867,13577,11432,6348,5475,11273,0
3061,2876,13449,11461,6360,5493,11396,0
3060,2871,13536,11407,6354,5490,11279,0
3063,2866,13470,11487,6332,5474,11480,0
3067,2864,13459,11475,6311,5482,11369,0
3051,2872,13493,11456,6319,5471,11291,0
3052,2864,13442,11307,6269,5448,11378,0
3043,2864,13532,11447,6358,5472,11212,0
3046,2869,13358,11345,6328,5480,11096,0
3060,2863,13552,11361,6336,5480,11065,0
3054,2865,13332,11372,6319,5460,10784,0
3050,2866,13439,11434,6318,5460,11024,0
3052,2870,13403,11314,6303,5470,10916,0
3055,2869,13351,11295,6309,5465,11295,0
3073,2871,13529,11329,6293,5477,11160,0
3059,2874,13363,11284,6301,5460,11208,0
3058,2870,13497,11374,6321,5465,11366,0
3053,2859,13446,11404,6329,5438,11143,0
3065,2869,13513,11397,6333,5466,11441,0
3073,2875,13507,11381,6330,5482,11049,0
3069,2879,13436,11392,6363,5507,11266,0
3057,2858,13326,11346,6261,5469,11234,0
3064,2867,13395,11422,6328,5446,11267,0
3055,2873,13418,11370,6326,5458,11219,0
3054,2872,13422,11399,6311,5452,11327,0
3058,2865,13161,11314,6326,5462,11205,0
3062,2872,13464,11435,6336,5523,11317,0
3050,2867,13518,11382,6333,5474,11228,0
3054,2866,13461,11350,6359,5478,11247,0
3065,2795,11921,10638,5718,4856,9613,0
3065,2795,11921,10638,5718,4856,9613,0
3157,2881,12328,11008,6070,5078,9847,0
3152,2892,12350,10941,6097,5046,9930,0
3167,2890,12325,10959,6021,5132,9899,0
3155,2896,12328,11022,6010,5041,9876,0
3151,2884,12288,11013,6063,5121,9898,0
3151,2879,12354,10919,5999,5032,9816,0
3152,2869,12392,10974,6029,5040,9817,0
3139,2877,12279,10972,6024,5067,9818,0
3141,2882,12206,10975,6044,5092,9897,0
